"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","CAPC17595_90N_KEM","66.8mm","38.9mm","66.8mm","38.9mm","66.8mm","38.9mm","T","0.0","1muF 10V 0603"
"C2","G-188_MUR","66.8mm","36.7mm","66.8mm","36.7mm","66.8mm","36.7mm","T","0.0","0.1muF"
"C3","CAPC17595_90N_KEM","65.2mm","15.0mm","65.2mm","15.0mm","65.2mm","15.0mm","T","0.0","1muF 10V 0603"
"C4","G-188_MUR","65.2mm","11.7mm","65.2mm","11.7mm","65.2mm","11.7mm","T","0.0","0.1muF"
"C5","G-188_MUR","33.5mm","41.8mm","33.5mm","41.8mm","33.5mm","41.8mm","T","90.0","0.1muF"
"C6","G-188_MUR","48.8mm","41.9mm","48.8mm","41.9mm","48.8mm","41.9mm","T","270.0","0.1muF"
"C7","CAPC1608X90N","53.3mm","39.1mm","53.3mm","39.1mm","53.3mm","39.1mm","T","180.0","100pF 50V 0603"
"C8","CAPC1608X90N","53.1mm","48.1mm","53.1mm","48.1mm","53.1mm","48.1mm","T","180.0","100pF 50V 0603"
"C9","G-188_MUR","33.7mm","58.1mm","33.7mm","58.1mm","33.7mm","58.1mm","T","270.0","0.1muF"
"C10","CAPC2012X135N","35.9mm","62.0mm","35.9mm","62.0mm","35.9mm","62.0mm","T","180.0","10muF"
"C11","G-188_MUR","33.6mm","50.6mm","33.6mm","50.6mm","33.6mm","50.6mm","T","270.0","0.1muF"
"C12","CAPC2012X135N","45.6mm","63.2mm","45.6mm","63.2mm","45.6mm","63.2mm","T","0.0","10muF"
"C13","G-188_MUR","48.5mm","58.2mm","48.5mm","58.2mm","48.5mm","58.2mm","T","270.0","0.1muF"
"C14","G-188_MUR","48.8mm","50.4mm","48.8mm","50.4mm","48.8mm","50.4mm","T","270.0","0.1muF"
"C15","CAPC1608X90N","53.1mm","53.7mm","53.1mm","53.7mm","53.1mm","53.7mm","T","180.0","100pF 50V 0603"
"C16","CAPC1608X90N","53.0mm","62.0mm","53.0mm","62.0mm","53.0mm","62.0mm","T","180.0","100pF 50V 0603"
"C17","CAPC1608X90N","53.5mm","33.3mm","53.5mm","33.3mm","53.5mm","33.3mm","T","180.0","100pF 50V 0603"
"C18","CAPC1608X90N","53.3mm","41.8mm","53.3mm","41.8mm","53.3mm","41.8mm","T","180.0","100pF 50V 0603"
"C19","G-188_MUR","69.2mm","5.2mm","69.2mm","5.2mm","69.2mm","5.2mm","T","90.0","0.1muF"
"C20","CAPC1608X90N","74.7mm","5.2mm","74.7mm","5.2mm","74.7mm","5.2mm","T","90.0","100pF 50V 0603"
"C21","G-188_MUR","78.4mm","9.0mm","78.4mm","9.0mm","78.4mm","9.0mm","T","180.0","0.1muF"
"C22","CAPC3216X180N","79.2mm","6.4mm","79.2mm","6.4mm","79.2mm","6.4mm","T","180.0","10muF 25V 1206"
"C23","G-188_MUR","78.6mm","13.7mm","78.6mm","13.7mm","78.6mm","13.7mm","T","180.0","0.1muF"
